Session_ID,Location_Zone,Time_of_Day,Product_Category,Cart_Status,Cart_Value_INR,Session_Duration_Sec,Delivery_Time_Min,Waste_Risk_Level,Cross_Sell_Accepted
SID100082,Powai,10 PM–2 AM,Fresh Produce,Abandoned,93,244,10,Low,No
SID100083,Andheri,9 AM–12,Snacks & Beverages,Completed,341,107,8,Low,No
SID100084,Andheri,12–3 PM,Frozen Foods,Abandoned,160,286,9,Low,No
SID100085,Andheri,9 AM–12,Snacks & Beverages,Completed,303,93,7,Low,No
SID100086,Andheri,12–3 PM,Dairy,Completed,315,106,11,High,Yes
SID100087,Andheri,10 PM–2 AM,Personal Care,Completed,303,152,9,Low,No
SID100088,Thane,6–10 PM,Snacks & Beverages,Abandoned,106,169,16,Low,No
SID100089,Bandra,3–6 PM,Staples & Grains,Abandoned,214,180,11,Medium,No
SID100090,Powai,3–6 PM,Snacks & Beverages,Completed,115,163,8,Low,No
SID100091,Bandra,6–9 AM,Fresh Produce,Completed,260,78,7,Medium,No
SID100092,Andheri,10 PM–2 AM,Dairy,Abandoned,219,241,8,High,No
SID100093,Powai,6–10 PM,Staples & Grains,Abandoned,117,193,10,Low,No
SID100094,Bandra,12–3 PM,Staples & Grains,Abandoned,236,107,10,Medium,No
SID100095,Andheri,9 AM–12,Snacks & Beverages,Completed,259,114,9,Low,No
SID100096,Andheri,12–3 PM,Snacks & Beverages,Completed,366,22,11,Low,No
SID100097,Dadar,10 PM–2 AM,Snacks & Beverages,Completed,352,107,8,Medium,Yes
SID100098,Dadar,6–10 PM,Dairy,Completed,251,142,9,Medium,No
SID100099,Bandra,3–6 PM,Snacks & Beverages,Completed,332,74,8,Medium,No
SID100100,Bandra,6–10 PM,Snacks & Beverages,Abandoned,83,319,10,Medium,No
SID100101,Andheri,6–9 AM,Personal Care,Completed,392,95,9,Low,No
SID100102,Bandra,6–10 PM,Staples & Grains,Abandoned,326,161,6,Medium,No
SID100103,Dadar,10 PM–2 AM,Personal Care,Completed,341,73,8,Medium,No
SID100104,Dadar,9 AM–12,Snacks & Beverages,Completed,438,127,10,Medium,No
SID100105,Thane,9 AM–12,Snacks & Beverages,Completed,343,113,9,Low,Yes
SID100106,Thane,3–6 PM,Fresh Produce,Completed,387,100,9,High,No
SID100107,Bandra,3–6 PM,Fresh Produce,Completed,313,155,14,Medium,No
SID100108,Andheri,10 PM–2 AM,Fresh Produce,Abandoned,185,234,8,High,No
SID100109,Dadar,6–10 PM,Fresh Produce,Abandoned,200,206,9,Medium,No
SID100110,Thane,3–6 PM,Frozen Foods,Abandoned,204,172,7,Low,No
SID100111,Thane,6–9 AM,Dairy,Completed,350,81,11,High,No
SID100112,Bandra,10 PM–2 AM,Snacks & Beverages,Abandoned,153,251,9,Medium,No
SID100113,Thane,6–10 PM,Staples & Grains,Abandoned,204,169,15,Low,No
SID100114,Bandra,12–3 PM,Snacks & Beverages,Completed,378,115,8,Medium,Yes
SID100115,Dadar,9 AM–12,Dairy,Completed,507,28,10,Medium,No
SID100116,Andheri,10 PM–2 AM,Personal Care,Abandoned,215,274,11,Low,No
SID100117,Andheri,6–10 PM,Dairy,Abandoned,275,213,9,High,No
SID100118,Dadar,10 PM–2 AM,Fresh Produce,Completed,353,198,9,Medium,No
SID100119,Bandra,10 PM–2 AM,Snacks & Beverages,Abandoned,119,187,6,Medium,No
SID100120,Powai,10 PM–2 AM,Fresh Produce,Abandoned,130,251,6,Low,No
SID100121,Powai,9 AM–12,Snacks & Beverages,Completed,96,100,10,Low,No
SID100122,Dadar,12–3 PM,Dairy,Abandoned,211,148,8,Medium,No
SID100123,Dadar,3–6 PM,Dairy,Abandoned,180,186,10,Medium,No
SID100124,Andheri,10 PM–2 AM,Snacks & Beverages,Abandoned,113,309,13,Low,No
SID100125,Bandra,3–6 PM,Dairy,Abandoned,159,74,9,Medium,No
SID100126,Dadar,10 PM–2 AM,Fresh Produce,Abandoned,100,231,9,Medium,No
SID100127,Andheri,6–10 PM,Staples & Grains,Completed,369,107,7,Low,No
SID100128,Andheri,9 AM–12,Staples & Grains,Abandoned,116,216,9,Low,No
SID100129,Andheri,6–10 PM,Frozen Foods,Abandoned,158,183,13,Low,No
SID100130,Thane,9 AM–12,Fresh Produce,Abandoned,285,118,7,High,No
SID100131,Bandra,6–10 PM,Snacks & Beverages,Completed,209,81,14,Medium,Yes
SID100132,Powai,3–6 PM,Fresh Produce,Completed,309,144,9,Low,No
SID100133,Andheri,12–3 PM,Dairy,Completed,204,157,12,High,Yes
SID100134,Andheri,10 PM–2 AM,Personal Care,Completed,320,64,6,Low,No
SID100135,Powai,6–10 PM,Staples & Grains,Completed,332,129,12,Low,No
SID100136,Thane,6–10 PM,Snacks & Beverages,Abandoned,228,186,11,Low,No
SID100137,Andheri,9 AM–12,Staples & Grains,Abandoned,191,87,8,Low,No
SID100138,Andheri,12–3 PM,Fresh Produce,Completed,241,156,11,High,No
SID100139,Powai,6–10 PM,Personal Care,Completed,243,48,12,Low,No
SID100140,Andheri,12–3 PM,Dairy,Abandoned,140,193,6,High,No
SID100141,Thane,9 AM–12,Snacks & Beverages,Completed,309,144,14,Low,No
SID100142,Thane,3–6 PM,Snacks & Beverages,Abandoned,211,216,7,Low,No
SID100143,Powai,12–3 PM,Snacks & Beverages,Abandoned,175,235,12,Low,No
SID100144,Andheri,3–6 PM,Frozen Foods,Completed,361,138,13,Low,No
SID100145,Dadar,12–3 PM,Fresh Produce,Abandoned,205,241,11,Medium,No
SID100146,Andheri,6–10 PM,Frozen Foods,Completed,294,125,13,Low,No
SID100147,Dadar,12–3 PM,Staples & Grains,Completed,319,107,9,Medium,No
SID100148,Andheri,9 AM–12,Snacks & Beverages,Completed,414,73,9,Low,No
SID100149,Bandra,3–6 PM,Staples & Grains,Abandoned,241,200,6,Medium,No
SID100150,Dadar,6–10 PM,Snacks & Beverages,Completed,315,134,13,Medium,Yes
SID100151,Bandra,3–6 PM,Dairy,Completed,276,86,14,Medium,Yes
SID100152,Bandra,6–10 PM,Snacks & Beverages,Abandoned,131,180,7,Medium,No
SID100153,Andheri,6–9 AM,Snacks & Beverages,Completed,309,73,11,Low,No
SID100154,Bandra,6–10 PM,Snacks & Beverages,Abandoned,130,186,16,Medium,No
SID100155,Andheri,10 PM–2 AM,Snacks & Beverages,Abandoned,189,164,11,Low,No
SID100156,Thane,3–6 PM,Snacks & Beverages,Completed,264,91,11,Low,No
SID100157,Bandra,6–9 AM,Personal Care,Completed,425,88,9,Medium,No
SID100158,Thane,9 AM–12,Staples & Grains,Completed,255,85,16,Low,No
SID100159,Powai,6–9 AM,Frozen Foods,Abandoned,143,236,9,Low,No
SID100160,Dadar,10 PM–2 AM,Frozen Foods,Completed,398,129,8,Medium,No
SID100161,Bandra,12–3 PM,Snacks & Beverages,Completed,309,113,14,Medium,No
SID100162,Andheri,9 AM–12,Staples & Grains,Completed,242,20,13,Low,No
SID100163,Bandra,6–10 PM,Dairy,Completed,358,122,9,Medium,Yes
SID100164,Thane,6–10 PM,Frozen Foods,Completed,369,124,11,Low,No
SID100165,Thane,6–10 PM,Staples & Grains,Abandoned,169,232,10,Low,No
SID100166,Bandra,6–10 PM,Snacks & Beverages,Completed,344,124,9,Medium,Yes
SID100167,Bandra,6–10 PM,Personal Care,Completed,203,110,12,Medium,No
SID100168,Thane,3–6 PM,Staples & Grains,Completed,279,119,11,Low,No
SID100169,Bandra,6–10 PM,Personal Care,Completed,276,111,10,Medium,No
SID100170,Bandra,6–10 PM,Snacks & Beverages,Completed,389,46,9,Medium,No
SID100171,Dadar,10 PM–2 AM,Personal Care,Completed,267,114,11,Medium,No
SID100172,Thane,6–9 AM,Snacks & Beverages,Completed,149,105,12,Low,No
SID100173,Bandra,12–3 PM,Personal Care,Completed,196,147,5,Medium,No
SID100174,Andheri,10 PM–2 AM,Staples & Grains,Completed,416,149,9,Low,No
SID100175,Dadar,3–6 PM,Dairy,Abandoned,88,142,8,Medium,No
SID100176,Dadar,3–6 PM,Frozen Foods,Abandoned,139,162,10,Medium,No
SID100177,Bandra,10 PM–2 AM,Fresh Produce,Completed,339,101,11,Medium,No
SID100178,Thane,10 PM–2 AM,Staples & Grains,Completed,337,76,13,Low,No
SID100179,Powai,9 AM–12,Snacks & Beverages,Completed,257,127,15,Low,No
SID100180,Andheri,3–6 PM,Snacks & Beverages,Abandoned,213,122,8,Low,No
SID100181,Powai,6–9 AM,Snacks & Beverages,Completed,275,144,5,Low,No
SID100182,Thane,12–3 PM,Staples & Grains,Completed,350,123,10,Low,No
SID100183,Andheri,12–3 PM,Personal Care,Abandoned,179,168,7,Low,No
SID100184,Thane,6–10 PM,Dairy,Completed,315,79,9,High,Yes
SID100185,Andheri,12–3 PM,Snacks & Beverages,Abandoned,287,190,12,Low,No
SID100186,Thane,9 AM–12,Snacks & Beverages,Completed,248,119,15,Low,No
SID100187,Dadar,6–10 PM,Staples & Grains,Abandoned,242,210,9,Medium,No
SID100188,Andheri,10 PM–2 AM,Dairy,Abandoned,259,185,11,High,No
SID100189,Thane,6–9 AM,Snacks & Beverages,Completed,259,186,9,Low,Yes
SID100190,Dadar,9 AM–12,Personal Care,Completed,269,73,12,Medium,No
SID100191,Powai,6–10 PM,Staples & Grains,Completed,315,149,10,Low,No
SID100192,Andheri,6–10 PM,Snacks & Beverages,Completed,303,148,12,Low,No
SID100193,Bandra,12–3 PM,Fresh Produce,Abandoned,193,233,13,Medium,No
SID100194,Bandra,6–10 PM,Fresh Produce,Completed,266,52,12,Medium,No
SID100195,Andheri,6–10 PM,Dairy,Abandoned,142,202,11,High,No
SID100196,Thane,10 PM–2 AM,Snacks & Beverages,Completed,288,121,6,Low,Yes
SID100197,Dadar,3–6 PM,Dairy,Abandoned,248,191,6,Medium,No
SID100198,Andheri,12–3 PM,Personal Care,Completed,212,138,13,Low,No
SID100199,Andheri,10 PM–2 AM,Fresh Produce,Abandoned,184,162,7,High,No
SID100200,Bandra,10 PM–2 AM,Fresh Produce,Abandoned,96,223,8,Medium,No
SID100201,Andheri,6–9 AM,Staples & Grains,Completed,286,128,15,Low,No
SID100202,Dadar,10 PM–2 AM,Dairy,Abandoned,202,180,9,Medium,No
SID100203,Andheri,3–6 PM,Personal Care,Completed,370,90,10,Low,No
SID100204,Bandra,3–6 PM,Snacks & Beverages,Completed,348,114,10,Medium,No
SID100205,Powai,3–6 PM,Staples & Grains,Abandoned,246,242,7,Low,No
SID100206,Andheri,6–10 PM,Personal Care,Completed,259,119,13,Low,No
SID100207,Andheri,6–10 PM,Frozen Foods,Abandoned,189,186,11,Low,No
SID100208,Powai,6–10 PM,Frozen Foods,Completed,317,94,10,Low,No
SID100209,Thane,9 AM–12,Staples & Grains,Completed,442,125,7,Low,No
SID100210,Andheri,6–10 PM,Personal Care,Completed,291,145,11,Low,No
SID100211,Thane,10 PM–2 AM,Fresh Produce,Abandoned,251,258,7,High,No
SID100212,Thane,6–10 PM,Staples & Grains,Abandoned,164,252,10,Low,No
SID100213,Andheri,12–3 PM,Fresh Produce,Completed,439,73,8,High,No
SID100214,Bandra,3–6 PM,Snacks & Beverages,Completed,263,64,10,Medium,No
SID100215,Thane,6–10 PM,Fresh Produce,Completed,390,85,9,High,No
SID100216,Powai,3–6 PM,Snacks & Beverages,Completed,189,69,14,Low,Yes
SID100217,Powai,6–10 PM,Staples & Grains,Completed,359,46,12,Low,No
SID100218,Dadar,6–9 AM,Snacks & Beverages,Completed,343,101,10,Medium,No
SID100219,Andheri,3–6 PM,Snacks & Beverages,Completed,232,129,7,Low,Yes
SID100220,Thane,3–6 PM,Fresh Produce,Abandoned,226,262,8,High,No
SID100221,Andheri,9 AM–12,Staples & Grains,Abandoned,186,122,7,Low,No
SID100222,Thane,9 AM–12,Dairy,Completed,305,158,9,High,Yes
SID100223,Thane,10 PM–2 AM,Dairy,Abandoned,182,196,10,High,No
SID100224,Andheri,9 AM–12,Dairy,Completed,287,150,9,High,Yes
SID100225,Andheri,6–10 PM,Snacks & Beverages,Completed,288,136,13,Low,Yes
SID100226,Thane,6–9 AM,Dairy,Completed,212,187,11,High,No
SID100227,Dadar,9 AM–12,Snacks & Beverages,Completed,315,84,10,Medium,Yes
SID100228,Thane,3–6 PM,Snacks & Beverages,Completed,177,161,11,Low,Yes
SID100229,Andheri,6–10 PM,Fresh Produce,Abandoned,280,193,9,High,No
SID100230,Thane,10 PM–2 AM,Snacks & Beverages,Completed,269,120,6,Low,No
SID100231,Andheri,6–9 AM,Frozen Foods,Abandoned,145,219,7,Low,No
SID100232,Andheri,12–3 PM,Snacks & Beverages,Completed,314,83,8,Low,No
SID100233,Powai,10 PM–2 AM,Staples & Grains,Abandoned,60,225,11,Low,No
SID100234,Bandra,6–10 PM,Personal Care,Abandoned,296,225,9,Medium,No
SID100235,Andheri,6–10 PM,Personal Care,Abandoned,212,271,8,Low,No
SID100236,Andheri,3–6 PM,Snacks & Beverages,Completed,287,165,13,Low,No
SID100237,Thane,10 PM–2 AM,Snacks & Beverages,Completed,224,67,9,Low,No
SID100238,Dadar,10 PM–2 AM,Dairy,Abandoned,253,197,8,Medium,No
SID100239,Thane,9 AM–12,Staples & Grains,Abandoned,222,204,12,Low,No
SID100240,Andheri,12–3 PM,Snacks & Beverages,Abandoned,165,162,10,Low,No
SID100241,Bandra,12–3 PM,Fresh Produce,Abandoned,203,225,16,Medium,No
SID100242,Dadar,3–6 PM,Personal Care,Completed,349,96,9,Medium,No
SID100243,Dadar,10 PM–2 AM,Staples & Grains,Completed,258,150,12,Medium,No
SID100244,Andheri,3–6 PM,Snacks & Beverages,Completed,417,73,10,Low,No
SID100245,Dadar,9 AM–12,Frozen Foods,Abandoned,178,201,12,Medium,No
SID100246,Thane,6–10 PM,Snacks & Beverages,Abandoned,183,80,9,Low,No
SID100247,Andheri,6–9 AM,Snacks & Beverages,Abandoned,183,149,11,Low,No
SID100248,Dadar,3–6 PM,Fresh Produce,Completed,335,20,11,Medium,No
SID100249,Andheri,6–10 PM,Staples & Grains,Completed,294,82,14,Low,No
SID100250,Andheri,10 PM–2 AM,Snacks & Beverages,Completed,279,90,9,Low,No
SID100251,Andheri,6–10 PM,Snacks & Beverages,Abandoned,189,162,10,Low,No
SID100252,Thane,6–10 PM,Fresh Produce,Completed,495,127,7,High,No
SID100253,Dadar,3–6 PM,Snacks & Beverages,Completed,218,102,5,Medium,No
SID100254,Dadar,6–10 PM,Staples & Grains,Completed,298,108,9,Medium,No
SID100255,Bandra,6–10 PM,Snacks & Beverages,Completed,193,109,10,Medium,Yes
SID100256,Andheri,12–3 PM,Personal Care,Completed,309,75,5,Low,No
SID100257,Dadar,6–9 AM,Fresh Produce,Abandoned,153,286,8,Medium,No
SID100258,Thane,3–6 PM,Fresh Produce,Completed,129,79,11,High,No
SID100259,Dadar,6–10 PM,Fresh Produce,Completed,263,117,15,Medium,No
SID100260,Bandra,10 PM–2 AM,Snacks & Beverages,Completed,385,106,14,Medium,No
SID100261,Dadar,6–10 PM,Dairy,Abandoned,181,248,8,Medium,No
SID100262,Andheri,6–10 PM,Dairy,Completed,319,101,11,High,Yes
SID100263,Andheri,6–9 AM,Snacks & Beverages,Completed,204,94,8,Low,No
SID100264,Bandra,6–10 PM,Staples & Grains,Abandoned,153,173,11,Medium,No
SID100265,Thane,12–3 PM,Snacks & Beverages,Completed,391,85,8,Low,No
SID100266,Thane,12–3 PM,Snacks & Beverages,Completed,237,119,12,Low,No
SID100267,Powai,6–9 AM,Personal Care,Completed,260,152,12,Low,No
SID100268,Dadar,6–10 PM,Dairy,Abandoned,215,227,8,Medium,No
SID100269,Bandra,10 PM–2 AM,Snacks & Beverages,Abandoned,117,210,5,Medium,No
SID100270,Bandra,6–10 PM,Personal Care,Completed,285,93,11,Medium,No
SID100271,Thane,12–3 PM,Staples & Grains,Completed,298,104,11,Low,No
SID100272,Thane,3–6 PM,Frozen Foods,Completed,370,141,7,Low,No
SID100273,Powai,10 PM–2 AM,Personal Care,Completed,343,127,8,Low,No
SID100274,Thane,9 AM–12,Dairy,Completed,369,127,16,High,Yes
SID100275,Powai,12–3 PM,Dairy,Completed,372,147,11,Low,No
SID100276,Thane,6–10 PM,Snacks & Beverages,Completed,310,101,12,Low,Yes
SID100277,Dadar,6–9 AM,Fresh Produce,Completed,265,77,11,Medium,No
SID100278,Powai,6–10 PM,Dairy,Abandoned,113,170,11,Low,No
SID100279,Andheri,6–10 PM,Snacks & Beverages,Completed,249,160,12,Low,Yes
SID100280,Dadar,12–3 PM,Fresh Produce,Abandoned,130,173,8,Medium,No
SID100281,Thane,10 PM–2 AM,Dairy,Abandoned,94,99,6,High,No
SID100282,Thane,6–9 AM,Dairy,Completed,266,150,10,High,Yes
SID100283,Powai,6–10 PM,Snacks & Beverages,Completed,435,80,15,Low,No
SID100284,Powai,6–10 PM,Staples & Grains,Abandoned,229,165,10,Low,No
SID100285,Andheri,6–9 AM,Fresh Produce,Completed,367,155,12,High,No
SID100286,Thane,3–6 PM,Fresh Produce,Abandoned,126,174,8,High,No
SID100287,Andheri,6–10 PM,Staples & Grains,Completed,230,105,15,Low,No
SID100288,Thane,6–10 PM,Snacks & Beverages,Abandoned,161,245,13,Low,No
SID100289,Powai,9 AM–12,Fresh Produce,Completed,323,42,6,Low,No
SID100290,Bandra,10 PM–2 AM,Snacks & Beverages,Completed,296,146,9,Medium,No
SID100291,Thane,3–6 PM,Fresh Produce,Completed,309,124,14,High,No
SID100292,Bandra,6–10 PM,Staples & Grains,Completed,224,122,11,Medium,No
SID100293,Thane,10 PM–2 AM,Snacks & Beverages,Completed,303,89,9,Low,Yes
SID100294,Bandra,12–3 PM,Frozen Foods,Completed,238,80,9,Medium,No
SID100295,Thane,6–9 AM,Fresh Produce,Abandoned,50,264,12,High,No
SID100296,Bandra,10 PM–2 AM,Snacks & Beverages,Completed,318,118,12,Medium,No
SID100297,Andheri,3–6 PM,Snacks & Beverages,Completed,375,113,7,Low,Yes
SID100298,Andheri,6–10 PM,Fresh Produce,Abandoned,200,197,8,High,No
SID100299,Andheri,9 AM–12,Snacks & Beverages,Completed,328,98,13,Low,No
SID100300,Powai,9 AM–12,Frozen Foods,Abandoned,189,180,11,Low,No
SID100301,Andheri,3–6 PM,Fresh Produce,Abandoned,206,275,12,High,No
SID100302,Powai,3–6 PM,Staples & Grains,Abandoned,184,162,13,Low,No
SID100303,Powai,6–9 AM,Staples & Grains,Completed,260,111,8,Low,No
SID100304,Andheri,12–3 PM,Staples & Grains,Completed,319,59,9,Low,No
SID100305,Powai,10 PM–2 AM,Staples & Grains,Completed,382,127,10,Low,No
SID100306,Powai,3–6 PM,Snacks & Beverages,Completed,352,146,13,Low,Yes
SID100307,Dadar,9 AM–12,Dairy,Completed,385,90,8,Medium,Yes
SID100308,Powai,6–10 PM,Staples & Grains,Abandoned,168,228,7,Low,No
SID100309,Thane,10 PM–2 AM,Fresh Produce,Abandoned,159,199,9,High,No
SID100310,Andheri,10 PM–2 AM,Staples & Grains,Completed,218,103,8,Low,No
SID100311,Dadar,10 PM–2 AM,Dairy,Completed,305,117,11,Medium,No
SID100312,Dadar,6–10 PM,Dairy,Abandoned,164,140,10,Medium,No
SID100313,Powai,6–10 PM,Frozen Foods,Abandoned,191,181,9,Low,No
SID100314,Andheri,10 PM–2 AM,Staples & Grains,Abandoned,201,275,9,Low,No
SID100315,Dadar,3–6 PM,Fresh Produce,Completed,415,41,10,Medium,No
SID100316,Bandra,9 AM–12,Staples & Grains,Completed,279,90,8,Medium,No
SID100317,Thane,6–10 PM,Dairy,Abandoned,239,102,9,High,No
SID100318,Powai,10 PM–2 AM,Dairy,Abandoned,132,210,13,Low,No
SID100319,Andheri,9 AM–12,Frozen Foods,Completed,358,70,9,Low,No
SID100320,Bandra,6–10 PM,Staples & Grains,Completed,322,42,13,Medium,No
SID100321,Dadar,10 PM–2 AM,Staples & Grains,Abandoned,218,134,13,Medium,No
SID100322,Bandra,10 PM–2 AM,Staples & Grains,Completed,324,76,6,Medium,No
SID100323,Dadar,3–6 PM,Fresh Produce,Completed,269,30,10,Medium,No
SID100324,Thane,10 PM–2 AM,Fresh Produce,Abandoned,225,174,10,High,No
SID100325,Thane,6–9 AM,Personal Care,Completed,237,121,13,Low,No
SID100326,Dadar,12–3 PM,Frozen Foods,Abandoned,141,209,8,Medium,No
SID100327,Andheri,6–9 AM,Fresh Produce,Abandoned,227,198,6,High,No
SID100328,Bandra,12–3 PM,Staples & Grains,Abandoned,233,213,12,Medium,No
SID100329,Andheri,6–9 AM,Snacks & Beverages,Completed,317,117,13,Low,No
SID100330,Andheri,10 PM–2 AM,Dairy,Abandoned,218,205,12,High,No
SID100331,Bandra,12–3 PM,Fresh Produce,Abandoned,210,314,13,Medium,No
SID100332,Dadar,3–6 PM,Dairy,Completed,451,152,7,Medium,Yes
